# Commit messages across all branches (with containing branches)
# Generated: 2025-11-24T23:26:54+05:30
# Format: <hash>|<date>|<subject>|<branches>

75b5782|2025-11-01 21:34:14 +0530|feat(dev): add dev wrapper to enable mock LLM via CLI flag\n\n- New script: scripts/dev.mjs (supports --mock-llm / --mock)\n- npm scripts: dev uses wrapper; dev:mock convenience alias\n- README documents CLI usage|feat/nextjs-migration,origin/feat/nextjs-migration
cfde103|2025-11-01 21:28:18 +0530|feat(llm): introduce interface + mock implementation with env switch\n\n- Add LLMService interface and OpenAI + Mock implementations\n- Facade chooses implementation via LLM_MOCK=1 or LLM_MODE=mock\n- Env guard allows mock mode without LITELLM_API_KEY\n- Document mock mode in README|feat/nextjs-migration,origin/feat/nextjs-migration
4d6e8d5|2025-11-01 21:09:57 +0530|feat(ui): move Feedback button from header into Game section near Make Public\n\n- Add Feedback button to GameStatusPanel alongside Make Public\n- Pass onOpenFeedback through GameScreen\n- Hide header Feedback button during game and end screens|feat/nextjs-migration,origin/feat/nextjs-migration
25a80b9|2025-11-01 20:59:08 +0530|docs(readme): update for Next.js App Router migration\n\n- Replace Vite instructions with Next.js flow\n- Document server-only env vars (LITELLM_*, LLM_MODEL) and client-safe NEXT_PUBLIC_LLM_MODEL\n- Add fail-fast API health notes and Vercel config\n- Add Migration Notes section|feat/nextjs-migration,origin/feat/nextjs-migration
2cd4af6|2025-11-01 20:50:25 +0530|chore: update package-lock.json after migration changes|feat/nextjs-migration,origin/feat/nextjs-migration
fa7dd7c|2025-11-01 20:50:13 +0530|chore(cleanup): remove legacy Vite/Node endpoints and unused files after Next.js migration\n\n- Drop legacy /api function handlers and Vite entrypoints\n- Remove duplicate chatSession.ts and request helper\n- app/page.tsx now serves as entry; Next.js route handlers replace functions|feat/nextjs-migration,origin/feat/nextjs-migration
87fce2b|2025-11-01 20:49:56 +0530|refactor(services): align geminiService imports with server paths and relax Zod generic for structured outputs|feat/nextjs-migration,origin/feat/nextjs-migration
2bb6860|2025-11-01 20:48:56 +0530|fix(api): include chat-based LLM routes in env guard wiring|feat/nextjs-migration,origin/feat/nextjs-migration
0097d2f|2025-11-01 20:47:46 +0530|chore(next): add next-env.d.ts (generated by Next.js)|feat/nextjs-migration,origin/feat/nextjs-migration
ab106aa|2025-11-01 20:47:15 +0530|chore(build): exclude tests/scripts from tsconfig and tidy deps order|feat/nextjs-migration,origin/feat/nextjs-migration
e7f4ae7|2025-11-01 20:46:55 +0530|feat(ui): port main app view to Next.js page and remove react-router usage\n\n- Implement game flow in app/page.tsx using hooks\n- Simplify GameRulesScreen to use callback instead of react-router\n- Read model name from NEXT_PUBLIC_LLM_MODEL (fallback to VITE_LLM_MODEL)|feat/nextjs-migration,origin/feat/nextjs-migration
26c40c2|2025-11-01 20:46:12 +0530|refactor(client): unify API origin env across Vite and Next.js\n\n- Support NEXT_PUBLIC_API_ORIGIN and VITE_API_ORIGIN on client\n- Fallback to server env when available|feat/nextjs-migration,origin/feat/nextjs-migration
3214aea|2025-11-01 20:45:56 +0530|refactor(ts): standardize internal imports for Next.js resolver\n\n- Drop .js extensions from internal imports\n- Align prompts and services to TS path resolution\n- No functional changes|feat/nextjs-migration,origin/feat/nextjs-migration
15944b2|2025-11-01 20:45:36 +0530|feat(api): fail fast when required env vars are missing\n\n- Guard all LLM handlers with requireLLMEnv() (needs LITELLM_API_KEY)\n- Guard DB-backed handlers with requireDBEnv() (needs DATABASE_URL or PRISMA_DATABASE_URL)\n- Return 503 JSON with no-store headers when misconfigured|feat/nextjs-migration,origin/feat/nextjs-migration
bf3f992|2025-11-01 20:40:12 +0530|feat(env): add centralized env guard helper for LLM and DB checks\n\n- requireLLMEnv(): ensures LITELLM_API_KEY is present\n- requireDBEnv(): ensures DATABASE_URL is present (falls back to PRISMA_DATABASE_URL)\n- returns 503 JSON with no-store headers when misconfigured|feat/nextjs-migration,origin/feat/nextjs-migration
1682917|2025-11-01 20:40:01 +0530|chore(gitignore): ignore Next.js build output (.next)|feat/nextjs-migration,origin/feat/nextjs-migration
0c6b0a2|2025-11-01 18:53:11 +0530|refactor: Replace Hono with native Next.js Route Handlers for LLM API|feat/nextjs-migration,origin/feat/nextjs-migration
e8b997b|2025-11-01 16:26:41 +0530|feat: Migrate all API routes to Next.js App Router|feat/nextjs-migration,origin/feat/nextjs-migration
1cb0a4d|2025-11-01 16:13:11 +0530|added migration plan|preview
14dcf35|2025-11-01 15:10:21 +0530|feat: Initialize Next.js 15 application|feat/nextjs-migration,origin/feat/nextjs-migration
7cfe508|2025-11-01 14:58:13 +0530|wip: TypeScript config fixes and dual-tsconfig setup|feat/nextjs-migration,origin/feat/nextjs-migration
e582e8d|2025-10-29 01:39:22 +0530|docs: Fix Mermaid syntax and add development scripts|feat/nextjs-migration,preview,origin/feat/nextjs-migration,origin/preview
fe553bb|2025-10-29 01:39:12 +0530|chore: Update build configuration and dependencies|feat/nextjs-migration,preview,origin/feat/nextjs-migration,origin/preview
13c162f|2025-10-29 01:38:46 +0530|feat: Update frontend to use backend LLM API and fix type references|feat/nextjs-migration,preview,origin/feat/nextjs-migration,origin/preview
3b91d0e|2025-10-29 01:38:23 +0530|feat: Enhance backend LLM API with Edge runtime and chat mode|feat/nextjs-migration,preview,origin/feat/nextjs-migration,origin/preview
2bd2029|2025-10-29 01:38:00 +0530|refactor: Implement lazy Prisma loading to fix TypeScript issues|feat/nextjs-migration,preview,origin/feat/nextjs-migration,origin/preview
0079a80|2025-10-29 01:37:40 +0530|feat: Add API utility libraries for logging and request handling|feat/nextjs-migration,preview,origin/feat/nextjs-migration,origin/preview
451afc8|2025-10-29 01:37:21 +0530|refactor: Extract shared types and config for backend compatibility|feat/nextjs-migration,preview,origin/feat/nextjs-migration,origin/preview
cb3210b|2025-10-26 21:51:29 +0530|feat: Integrate frontend with backend LLM API and add comprehensive tests|feat/nextjs-migration,preview,origin/feat/nextjs-migration,origin/preview
0f23d4a|2025-10-26 19:03:57 +0530|feat: Add optimized AI turn endpoint (50% fewer LLM calls)|feat/nextjs-migration,preview,origin/feat/nextjs-migration,origin/preview
397de36|2025-10-26 17:27:46 +0530|feat: Implement Hono-based backend API for LLM calls|feat/nextjs-migration,preview,origin/feat/nextjs-migration,origin/preview
f4f2f65|2025-10-26 16:39:29 +0530|docs: Add deployment links to README|feat/nextjs-migration,preview,origin/feat/nextjs-migration,origin/preview
158ee2b|2025-10-26 16:30:37 +0530|docs: Add project documentation|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
ce31f50|2025-10-26 16:30:22 +0530|feat: Add error handling and debug UI for community scenarios|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
5faa3a7|2025-10-26 16:30:18 +0530|feat: Add debug logging and stats to community scenarios API|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
cc7f848|2025-10-26 16:30:00 +0530|feat: Improve feedback banner UX|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
bd6e8f0|2025-10-26 16:27:20 +0530|feat: Improve action tree visualization with single-round view|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
9216766|2025-10-26 16:27:00 +0530|feat: Implement chat mode for improved LLM context and caching|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
cf025f9|2025-10-26 16:26:39 +0530|chore: Update .gitignore for Claude Code and Beads|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
6f841af|2025-10-16 23:38:17 +0530|Fix emoji icons for AI safety and custom scenarios|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
659ef55|2025-10-16 22:55:41 +0530|Replace Heroicons with emoji icons for all scenarios|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
c7c41f4|2025-10-16 22:10:37 +0530|(bug): Fix submit scenario modal blocking issue|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
33ef8ef|2025-10-16 19:40:54 +0530|update about page|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
54bf15a|2025-10-16 19:21:09 +0530|Expand FAQ section with comprehensive gameplay questions|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
2b6f719|2025-10-16 18:49:37 +0530|Add action point accumulation system and UI improvements|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
a5ce35a|2025-10-16 18:20:43 +0530|Simplify Updates page to focus on user-facing features|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
4059b62|2025-10-16 18:18:28 +0530|Rebrand to Simulacra and add Updates page|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
4462d51|2025-10-16 13:46:02 +0530|Add loading state to scenario upvote button|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
ffe0a46|2025-10-16 13:43:10 +0530|Add comprehensive Admin Tools section to README|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
10a4cd0|2025-10-16 13:36:53 +0530|Streamline README and highlight community features|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
404f88c|2025-10-16 13:29:31 +0530|Add Python cache and test artifacts to gitignore|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
9de05cd|2025-10-16 13:26:14 +0530|Enhance Beads visualization with auto-updating README|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
6a5c448|2025-10-16 13:15:07 +0530|Fix voting bug: persist voted scenarios to localStorage|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
281a24b|2025-10-16 13:13:18 +0530|Add voting functionality to community scenarios|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
17ccd7b|2025-10-16 13:04:55 +0530|Add in-game "Make Public" button with submission tracking|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
8c5f267|2025-10-16 13:04:24 +0530|Fix community scenario initialization bug|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
6cc0786|2025-10-16 13:04:01 +0530|Add scenario management CLI tool|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
7d3c332|2025-10-16 05:05:57 +0530|Add custom prompt tracking and UI polish|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
d6f1bde|2025-10-16 04:42:22 +0530|Configure multi-environment database support for analytics|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
9bace04|2025-10-16 03:15:03 +0530|Add Prisma migrations to Vercel build command|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
69dfd36|2025-10-16 02:56:21 +0530|Add task breakdowns for Browse Scenarios and React Router migration|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
bd9fd1a|2025-10-15 23:58:18 +0530|Remove test file|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
ee18e43|2025-10-15 23:58:02 +0530|Test pre-commit hook|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
752c6dc|2025-10-15 23:56:17 +0530|Export Beads issues to JSONL format|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
b257077|2025-10-15 23:54:46 +0530|Update task tracking: Add LLM migration epic with design notes|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
69b135a|2025-10-15 23:52:39 +0530|Fix API routes CommonJS/ES module conflict|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
9b7dc01|2025-10-15 22:30:40 +0530|Remove node_modules from Git tracking|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
85050ba|2025-10-15 22:28:45 +0530|Add Beads task management database|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
a5ca74c|2025-10-15 22:27:05 +0530|Add documentation and project configuration|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
8c1301e|2025-10-15 22:26:34 +0530|Add public scenario submission API and UI|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
384bf78|2025-10-15 22:26:14 +0530|Add public scenario types with moderation workflow|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
aaf24a6|2025-10-15 22:25:46 +0530|Add navigation menu and About page|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
bb22688|2025-10-15 22:25:26 +0530|Add feedback UI components and integrate into game flow|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
4897cb4|2025-10-15 22:25:03 +0530|Add feedback system types and backend API|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
66b0d8b|2025-10-15 22:24:39 +0530|Add database infrastructure with Prisma and PostgreSQL|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,preview,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/preview
6da0499|2025-10-12 04:22:41 +0530|remove node modules|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
2b23df2|2025-10-12 04:18:31 +0530| Summarize rounds with timeline recap|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
725377b|2025-10-12 00:42:04 +0530|Rebrand to Crisis Command and refresh icons|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
6feedda|2025-10-11 15:25:41 +0530|Integrate React Flow action tree|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
8cc5a58|2025-10-11 14:56:54 +0530|Fix missing BeakerIcon import in controller|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
53def92|2025-10-11 14:48:12 +0530|Split app layout into lobby/game/end screens|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
ff1799f|2025-10-11 14:39:01 +0530|Open history panel by default|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
29e8b03|2025-10-11 14:35:20 +0530|Introduce useGameController hook and restructure App|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
b283ee2|2025-10-11 14:10:29 +0530|Extract action tree helpers and shared UI components|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
97175b0|2025-10-11 13:41:51 +0530|Extract PlayerInfoPanel component|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
afccde8|2025-10-11 03:36:23 +0530|Extract ActionSelection component|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
9a88174|2025-10-11 03:33:39 +0530|Extract EventLog component|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
8d83a58|2025-10-11 03:28:25 +0530|Extract RoundSnapshotCard component|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
bb46b35|2025-10-11 03:21:23 +0530|Plan React Flow action tree|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
4c94e52|2025-10-11 03:12:41 +0530|Keep event log collapsed by default|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
19d3d59|2025-10-11 03:01:31 +0530|Tidy game UI and add TODO|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
7d96898|2025-10-11 02:12:25 +0530|Restore app with scenario options|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
a3e3cc4|2025-09-27 05:53:19 +0530|top tracking env files|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
a3d54b7|2025-09-27 05:37:32 +0530|Added favicon and build script which can also handle git push|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
8defff1|2025-09-27 05:21:16 +0530|fix zod version and add lockfile|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
b519620|2025-09-27 04:42:52 +0530|Moved from gemini API to openai SDK and switched backend to litellm|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
6036509|2025-09-27 01:36:47 +0530|backend changes|big-fixes-ui-changes,origin/big-fixes-ui-changes
dde88da|2025-07-24 11:55:10 +0530|Added more details about the game obj, added status for state changes, fixed dagre for action tree|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
d2fea67|2025-07-24 11:21:55 +0530|added description about TTX in the readme and the landing page|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
4cd56ec|2025-07-24 11:10:45 +0530|added env to gitignore, added variable for gemini model|claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
cc41e9d|2025-06-28 03:38:35 +0530|merge conflicts fixed|big-fixes-ui-changes,claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/big-fixes-ui-changes,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
e444555|2025-06-28 03:35:23 +0530|fixed action points, improved UI flow, promtps,  added graph|big-fixes-ui-changes,claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/big-fixes-ui-changes,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
fdc47c6|2025-06-28 03:25:02 +0530|Added design for the server implementation|big-fixes-ui-changes,claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/big-fixes-ui-changes,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
e3cd0b1|2025-06-28 00:49:32 +0530|Fixed vite gemini api key|big-fixes-ui-changes,claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,feat/nextjs-migration,main,preview,origin,origin/big-fixes-ui-changes,origin/claude/medhAI-mentor-system-011CV5cPSiCffNwYRR6REBGu,origin/feat/nextjs-migration,origin/main,origin/preview
